Bootstrap Iter,dGN,dGR,dGX,dGC,dGRR,dGXX,dGRX,dGXR,mR,mX,redchi**2,bestchi**2
1,4.808002205951077,4.0299812733144815,5.7105515313518,6.3037297087151885,-10.37484112024891,-10.198650231840688,-9.362428522459249,-10.84665232620611,0.7042339782340443,0.9738013020804644,0.0003026627126373069,0.27330442951148815
2,4.861769837152476,4.0714653233782325,5.58967624955596,6.323369754595031,-10.41727066678541,-10.12372601119387,-9.365131636476287,-10.784187175357326,0.7022074696491598,0.9724861165852798,0.00030330011177498467,0.2738800009328112
3,4.913551705276842,4.111931680478947,5.74973739896011,6.4090188722281205,-10.561784345729288,-10.290925004915838,-9.54795854995881,-10.997239618279043,0.7153614410402934,1.001272468288127,0.00029512169969335986,0.26649489482310396
4,4.950809153082431,4.150049297280592,5.69722972656267,6.424541634322914,-10.556297343413664,-10.229954339989341,-9.476749308922408,-10.8912245426763,0.7081308965122578,0.9548737299887035,0.00029590176681461213,0.2671992954335948
5,4.900072080714092,4.093342956195369,5.600750372048073,6.344632973191991,-10.495273683038587,-10.190222433121143,-9.46448390941309,-10.847079067689256,0.7101483286957805,1.0039118405259695,0.00030252441097012493,0.2731795431060228
6,4.889996116124026,4.1130816123737075,5.562757974433779,6.350218097177895,-10.500411631501112,-10.126527540539396,-9.380408296587335,-10.772914881709783,0.7079980615484583,0.9726895488749268,0.00026872852488990956,0.24266185797558834
7,4.9656945687302345,4.159236527760927,5.684956988068776,6.463099544375168,-10.618368613493674,-10.27673042443779,-9.53243508437732,-11.009617753130112,0.7136230845401251,0.9897224777277737,0.00032652434709527165,0.2948514854270303
8,4.935597916834714,4.140658786742245,5.749196516246677,6.38272744222569,-10.517053643075075,-10.286456209519745,-9.437221497451434,-10.92586661748401,0.704135868445668,0.9599351024299572,0.0003482921914650219,0.3145078488929148
9,4.967775129423234,4.088486170316686,5.662280661056557,6.4142757517125455,-10.564912293587781,-10.311687566424215,-9.56485665311756,-10.980166851526722,0.7163490511393859,1.022594293919076,0.0002682201963823076,0.24220283733322379
10,4.789207630924037,3.9449103075373064,5.712351801731084,6.282939616930888,-10.320884682179557,-10.198797350984924,-9.35570809321125,-10.761618936558687,0.7098014717418494,0.9549528081245648,0.00027854395187791337,0.2515251885457558
11,4.770737081081361,4.012794741223012,5.445849419358892,6.2380541448300075,-10.273154654530229,-9.877173432974178,-9.197089637206577,-10.57911839869198,0.6942712432983901,0.9610032771504097,0.0002890503367448365,0.2610124540805874
12,4.7913430770652825,3.9757615212595914,5.551332528524159,6.220348513321566,-10.274956712563103,-9.973419766466426,-9.26660657876759,-10.626095979888172,0.6984308574381172,0.9513222064051053,0.0002982184733976332,0.2692912814780628
13,4.962645940960761,4.146970569487651,5.601138358627652,6.371433795211455,-10.57460889237757,-10.162451220264769,-9.481745310270759,-10.805125066635604,0.7108092590820325,0.967220504026984,0.0003330364135913234,0.30073188147296503
14,4.840974323120348,4.05613865115855,5.448452095126475,6.252028171164875,-10.314506946912207,-9.953552047682752,-9.296621544268307,-10.646724408081445,0.6920339655212944,0.9922455842091789,0.0002660009447954927,0.24019885315032993
15,4.792010099366093,4.01608564047445,5.6378910932410875,6.223498502717843,-10.287698317841484,-10.077901035978815,-9.295851928259424,-10.649707214862639,0.695552407692207,0.9478424550944826,0.00026604146635160665,0.2402354441155008
16,4.893353984688362,4.154823966955955,5.695516254464823,6.343343504125646,-10.533784075032386,-10.180984067251346,-9.47132171435541,-10.854702748797138,0.7064343206852832,0.9738679452954293,0.0003034654207090714,0.2740292749002915
17,4.880582861159132,4.05403257890943,5.63253524639672,6.341049315088874,-10.474926614798804,-10.205945032629927,-9.410716008626872,-10.890556964498007,0.7145873407858606,0.9875988985891403,0.00034312007425450297,0.30983742705181616
18,4.933178787510026,4.161808986291572,5.584096133752477,6.455662984871952,-10.568552952755981,-10.142533879610518,-9.427582474604819,-10.939300978910918,0.7062583889516166,0.9865442240273771,0.0003004472213428386,0.27130384087258325
19,4.875164896353819,4.030858569450628,5.5188360198222135,6.338211507659634,-10.395261765648575,-10.022417624899601,-9.362534273281872,-10.748113343445821,0.7056440048384008,0.9722372145575896,0.0002959544710104703,0.26724688732245466
20,5.01545766611948,4.194945029907757,5.735683788246839,6.518071479214147,-10.694487098885,-10.344485794371336,-9.623239837194546,-11.118597549602894,0.7166467917217076,1.0073947892332844,0.00034416462759567014,0.31078065871889016
