,dGN,dGR,dGX,dGC,dGRR,dGXX,dGRX,dGXR,mR,mX
dGN,1.0,-0.2168332264562804,-0.8349350337300405,-0.42094189039631813,-0.24040661986963285,-0.7572135855154575,-0.8099627582626101,-0.5819359438528172,-0.4944966947567695,-0.7741557116561416
dGR,-0.21683322645642278,1.0,0.03148143766976669,-0.37226837740635493,-0.9819428721021184,0.015846165615999327,0.13022298083298015,0.006036221611263856,-0.9303581935664799,0.02980917858751453
dGX,-0.8349350337299755,0.03148143766990194,1.0,-0.5939603688072828,0.05447795223793999,-0.8398618061774327,-0.9105395285151399,-0.8404142121900399,-0.26686127599825477,-0.9649159649826897
dGC,-0.4209418903963029,-0.3722683774062916,-0.5939603688072982,1.0,-0.3766452976292324,-0.2846742945168989,-0.4503777838986368,-0.8166634606583174,-0.485185618251736,-0.6527501279311118
dGRR,-0.24040661986977754,-0.9819428721021176,0.05447795223780188,-0.37664529762929755,1.0,0.017655536831508195,0.17059066507447293,0.03985486262238592,-0.9147756786360921,0.0643459352529761
dGXX,-0.7572135855154264,0.015846165616112302,-0.8398618061774555,-0.28467429451689785,0.01765553683162341,1.0,-0.6824315324570018,-0.47199200730712054,-0.2711364125801228,-0.7107287101806419
dGRX,-0.8099627582625426,0.1302229808331157,-0.9105395285151373,-0.45037778389861954,0.17059066507461107,-0.6824315324569772,1.0,-0.7501476333581082,-0.17265819088635317,-0.9161155829358922
dGXR,-0.5819359438527348,0.006036221611367926,-0.8404142121900096,-0.8166634606582905,0.03985486262249266,-0.47199200730707686,-0.7501476333580803,1.0,-0.21227373567441934,-0.8989334326228273
mR,-0.4944966947568896,-0.9303581935664352,-0.2668612759983895,-0.4851856182517946,-0.9147756786360474,-0.27113641258022775,-0.17265819088648887,-0.21227373567453328,1.0,-0.24384721510197235
mX,-0.7741557116560704,0.029809178587644817,-0.964915964982681,-0.6527501279310922,0.06434593525310918,-0.710728710180613,-0.9161155829358866,-0.8989334326228497,-0.24384721510183982,1.0
